O_Rank,Team,O_Games_Played,O_Points_For,O_Total_Yards,O_Plays,O_Y/Play,O_TO,O_Fumbles_Lost,O_1st_D,O_P_Completions,O_P_Attempts,O_P_Yards,O_P_TD,O_P_Int,O_P_Y/PA,O_P_Passing_1st_D,O_R_Att,O_R_Yards,O_R_TD,O_R_Y/A,O_R_1st_D,O_Pe,O_Pe_Yards,O_Pe_1st_D,O_Scoring_Drives,O_TO_%,O_Expected_Points,Year,D_Rank,D_Games_Played,D_Points_Allowed,D_Total_Yards,D_Plays,D_Y/Play,D_TD,D_Fumbles_Lost,D_1st_D,D_P_Completions,D_P_Attempts,D_P_Yards,D_P_TD,D_P_Int,D_P_Y/PA,D_P_Passing_1st_D,D_R_Att,D_R_Yards,D_R_TD,D_R_Y/A,D_R_1st_D,D_Pe,D_Pe_Yards,D_Pe_1st_D,D_Scoring_Drives,D_TD_%,D_Expected_Points
11,Houston Texans,13,390.1538461538462,6016.0,1016.6153846153846,5.9,20.923076923076923,8.615384615384617,354.46153846153845,364.3076923076923,540.3076923076924,3933.538461538462,30.76923076923077,12.307692307692308,6.7,212.92307692307693,428.3076923076923,2082.4615384615386,16.0,4.9,109.53846153846155,119.38461538461539,978.4615384615386,32.0,48.861538461538466,11.8,140.36923076923077,2019,19,16.0,380.3076923076923,6004.923076923077,1010.4615384615386,5.9,19.692307692307693,11.076923076923077,342.1538461538462,386.4615384615385,590.7692307692308,4253.538461538462,34.46153846153847,8.615384615384617,6.8,220.30769230769232,387.69230769230774,1751.3846153846155,8.615384615384617,4.5,91.07692307692308,115.6923076923077,919.3846153846155,30.76923076923077,49.23076923076923,11.9,-128.88615384615386
12,Los Angeles Rams,13,382.7692307692308,6018.461538461539,1031.3846153846155,5.8,27.07692307692308,8.615384615384617,332.3076923076923,377.84615384615387,601.8461538461539,4428.307692307692,18.461538461538463,18.461538461538463,7.1,210.46153846153848,406.1538461538462,1590.1538461538462,19.692307692307693,3.9,97.23076923076924,118.15384615384616,905.8461538461539,24.615384615384617,43.815384615384616,14.8,29.735384615384618,2019,11,16.0,322.46153846153845,5208.615384615385,1072.0,4.9,20.923076923076923,9.846153846153847,317.53846153846155,356.92307692307696,577.2307692307693,3539.692307692308,22.153846153846153,11.076923076923077,5.6,198.15384615384616,441.84615384615387,1668.923076923077,11.076923076923077,3.8,91.07692307692308,110.76923076923077,891.0769230769231,28.30769230769231,37.16923076923077,10.7,26.806153846153848
13,Green Bay Packers,13,380.3076923076923,5441.2307692307695,985.8461538461539,5.5,11.076923076923077,8.615384615384617,321.2307692307692,353.2307692307692,547.6923076923077,3729.2307692307695,28.30769230769231,2.4615384615384617,6.4,185.84615384615387,400.0,1712.0,17.230769230769234,4.3,87.38461538461539,104.61538461538463,771.6923076923077,48.0,46.892307692307696,5.8,115.23692307692308,2019,13,16.0,332.3076923076923,5886.769230769231,992.0,5.9,24.615384615384617,8.615384615384617,327.3846153846154,329.84615384615387,530.4615384615385,3921.2307692307695,19.692307692307693,16.0,6.9,203.0769230769231,422.1538461538462,1965.5384615384617,17.230769230769234,4.7,104.61538461538463,105.84615384615385,1049.8461538461538,19.692307692307693,45.66153846153846,14.3,-73.72307692307693
14,Atlanta Falcons,13,369.2307692307692,6023.384615384616,1076.923076923077,5.6,25.846153846153847,9.846153846153847,377.84615384615387,457.84615384615387,675.6923076923077,4731.076923076924,30.76923076923077,16.0,6.5,251.0769230769231,350.7692307692308,1292.3076923076924,8.615384615384617,3.7,82.46153846153847,115.6923076923077,912.0,44.30769230769231,49.723076923076924,14.2,105.69846153846154,2019,25,16.0,422.1538461538462,5862.153846153847,1006.7692307692308,5.8,17.230769230769234,4.923076923076923,343.3846153846154,371.69230769230774,548.9230769230769,4134.153846153847,29.53846153846154,12.307692307692308,7.2,203.0769230769231,429.53846153846155,1728.0,14.76923076923077,4,110.76923076923077,125.53846153846155,1083.076923076923,29.53846153846154,55.261538461538464,8.1,-135.04
15,Carolina Panthers,13,369.2307692307692,5464.615384615385,1064.6153846153848,5.1,32.0,16.0,334.7692307692308,372.92307692307696,611.6923076923077,3561.8461538461543,19.692307692307693,16.0,5.3,228.92307692307693,391.3846153846154,1902.769230769231,20.923076923076923,4.9,78.76923076923077,91.07692307692308,786.4615384615385,27.07692307692308,42.33846153846154,14.6,-5.3538461538461535,2019,27,16.0,443.0769230769231,5982.769230769231,1046.1538461538462,5.7,24.615384615384617,8.615384615384617,349.53846153846155,360.61538461538464,564.9230769230769,3756.3076923076924,19.692307692307693,16.0,6,203.0769230769231,423.3846153846154,2226.4615384615386,29.53846153846154,5.3,120.61538461538463,124.30769230769232,1053.5384615384617,25.846153846153847,49.10769230769231,11.7,-86.68307692307694
16,Philadelphia Eagles,13,365.53846153846155,5570.461538461539,1092.923076923077,5.1,27.07692307692308,17.230769230769234,343.3846153846154,377.84615384615387,603.0769230769231,3671.3846153846157,27.07692307692308,9.846153846153847,5.7,206.76923076923077,449.2307692307693,1899.076923076923,13.53846153846154,4.2,100.92307692307693,100.92307692307693,857.8461538461539,35.69230769230769,41.353846153846156,11.8,42.08,2019,18,16.0,370.4615384615385,5227.076923076924,962.4615384615386,5.4,19.692307692307693,7.384615384615385,289.2307692307692,339.69230769230774,556.3076923076924,3793.2307692307695,29.53846153846154,12.307692307692308,6.3,184.6153846153846,361.84615384615387,1433.846153846154,13.53846153846154,4,75.07692307692308,128.0,1022.7692307692308,29.53846153846154,41.84615384615385,9.8,-32.40615384615385
17,Indianapolis Colts,13,364.3076923076923,5457.2307692307695,1042.4615384615386,5.2,23.384615384615387,11.076923076923077,347.0769230769231,323.69230769230774,525.5384615384615,3323.0769230769233,27.07692307692308,12.307692307692308,6,177.23076923076923,486.1538461538462,2134.153846153846,13.53846153846154,4.4,126.76923076923077,83.6923076923077,720.0,43.07692307692308,45.66153846153846,12.1,91.13846153846154,2019,16,16.0,363.0769230769231,5521.2307692307695,967.3846153846155,5.7,23.384615384615387,9.846153846153847,312.61538461538464,381.53846153846155,551.3846153846155,3926.153846153846,27.07692307692308,13.53846153846154,6.6,198.15384615384616,375.3846153846154,1595.076923076923,9.846153846153847,4.2,89.84615384615385,118.15384615384616,1126.1538461538462,24.615384615384617,45.66153846153846,12.9,-38.48615384615385
18,Los Angeles Chargers,13,355.69230769230774,6011.076923076924,992.0,6.1,27.07692307692308,8.615384615384617,352.0,379.0769230769231,582.1538461538462,4455.384615384615,25.846153846153847,18.461538461538463,7.2,220.30769230769232,376.61538461538464,1555.6923076923078,11.076923076923077,4.1,92.3076923076923,108.30769230769232,946.4615384615386,39.38461538461539,52.06153846153846,15.4,108.4923076923077,2019,7,16.0,308.92307692307696,4877.538461538462,924.3076923076924,5.3,14.76923076923077,3.6923076923076925,285.53846153846155,328.61538461538464,472.61538461538464,3145.846153846154,22.153846153846153,11.076923076923077,6.2,158.76923076923077,418.4615384615385,1731.6923076923078,11.076923076923077,4.1,97.23076923076924,114.46153846153847,1024.0,29.53846153846154,41.353846153846156,9.2,-67.17538461538462
19,Detroit Lions,13,353.2307692307692,5856.0,1049.8461538461538,5.6,23.384615384615387,8.615384615384617,328.61538461538464,363.0769230769231,583.3846153846155,4210.461538461539,32.0,14.76923076923077,6.7,212.92307692307693,422.1538461538462,1645.5384615384617,4.923076923076923,3.9,80.0,123.07692307692308,995.6923076923077,35.69230769230769,42.95384615384616,12.1,64.20923076923077,2019,23,16.0,412.3076923076923,6315.076923076924,1068.3076923076924,5.9,19.692307692307693,13.53846153846154,359.3846153846154,369.2307692307692,590.7692307692308,4424.615384615385,32.0,6.153846153846154,7.1,224.0,446.7692307692308,1890.4615384615386,13.53846153846154,4.2,93.53846153846155,114.46153846153847,914.4615384615386,41.84615384615385,48.61538461538462,9.5,-132.48000000000002
20,Buffalo Bills,13,337.2307692307692,5470.769230769231,1033.8461538461538,5.3,17.230769230769234,6.153846153846154,327.3846153846154,310.1538461538462,519.3846153846154,3305.846153846154,22.153846153846153,11.076923076923077,5.9,168.6153846153846,472.61538461538464,2164.923076923077,14.76923076923077,4.6,120.61538461538463,119.38461538461539,948.923076923077,38.15384615384615,38.892307692307696,9.2,38.683076923076925,2019,2,16.0,260.92307692307696,4748.307692307692,979.6923076923077,4.8,19.692307692307693,8.615384615384617,294.1538461538462,339.69230769230774,548.9230769230769,3063.3846153846157,14.76923076923077,11.076923076923077,5.1,172.30769230769232,384.0,1684.923076923077,13.53846153846154,4.4,87.38461538461539,102.15384615384616,913.2307692307693,34.46153846153847,27.446153846153848,10.1,37.39076923076923
21,Cleveland Browns,13,336.0,5548.307692307692,984.6153846153846,5.6,27.07692307692308,7.384615384615385,305.2307692307692,315.0769230769231,536.6153846153846,3556.923076923077,18.461538461538463,19.692307692307693,6.2,177.23076923076923,407.3846153846154,1991.3846153846155,17.230769230769234,4.9,94.76923076923077,129.23076923076923,1176.6153846153848,33.23076923076923,41.6,13.9,4.516923076923077,2019,15,16.0,358.1538461538462,5536.0,1003.0769230769231,5.5,20.923076923076923,6.153846153846154,327.3846153846154,323.69230769230774,528.0,3484.3076923076924,24.615384615384617,14.76923076923077,6.1,182.15384615384616,429.53846153846155,2051.6923076923076,13.53846153846154,4.8,104.61538461538463,113.23076923076924,900.923076923077,40.61538461538462,40.73846153846154,11.3,-41.99384615384615
22,Arizona Cardinals,13,334.7692307692308,5190.153846153847,996.923076923077,5.2,14.76923076923077,3.6923076923076925,301.53846153846155,361.84615384615387,564.9230769230769,3417.846153846154,19.692307692307693,11.076923076923077,5.5,177.23076923076923,374.1538461538462,1772.3076923076924,13.53846153846154,4.7,96.0,126.76923076923077,999.3846153846155,28.30769230769231,46.52307692307692,8.4,39.22461538461539,2019,30,16.0,460.3076923076923,6635.076923076924,1080.6153846153848,6.1,17.230769230769234,9.846153846153847,384.0,425.84615384615387,593.2307692307693,4707.692307692308,39.38461538461539,7.384615384615385,7.4,249.84615384615387,446.7692307692308,1927.3846153846155,8.615384615384617,4.3,96.0,112.0,1033.8461538461538,38.15384615384615,55.753846153846155,9.5,-198.63384615384615
23,Pittsburgh Steelers,13,318.7692307692308,4641.2307692307695,941.5384615384615,4.9,25.846153846153847,9.846153846153847,275.69230769230774,317.53846153846155,504.61538461538464,3127.3846153846157,19.692307692307693,16.0,5.9,151.3846153846154,409.84615384615387,1513.846153846154,7.384615384615385,3.7,77.53846153846155,116.92307692307693,962.4615384615386,46.769230769230774,39.13846153846154,13.9,-54.744615384615386,2019,5,16.0,297.84615384615387,4974.769230769231,1031.3846153846155,4.8,40.61538461538462,18.461538461538463,312.61538461538464,337.2307692307692,544.0,3356.3076923076924,25.846153846153847,22.153846153846153,5.6,180.92307692307693,428.3076923076923,1618.4615384615386,6.153846153846154,3.8,98.46153846153847,120.61538461538463,1209.8461538461538,33.23076923076923,34.830769230769235,21.1,80.3569230769231
24,Oakland Raiders,13,317.53846153846155,5676.307692307692,966.1538461538462,5.9,19.692307692307693,9.846153846153847,308.92307692307696,356.92307692307696,505.84615384615387,3745.2307692307695,23.384615384615387,9.846153846153847,7.1,189.53846153846155,435.69230769230774,1931.076923076923,13.53846153846154,4.4,105.84615384615385,131.6923076923077,1148.3076923076924,13.53846153846154,38.892307692307696,11.3,68.87384615384616,2019,29,16.0,450.4615384615385,6022.153846153847,980.923076923077,6.1,17.230769230769234,6.153846153846154,356.92307692307696,339.69230769230774,529.2307692307693,4294.153846153847,36.92307692307693,11.076923076923077,7.6,206.76923076923077,418.4615384615385,1728.0,16.0,4.1,99.6923076923077,88.61538461538461,738.4615384615385,50.46153846153847,51.938461538461546,9.6,-192.08615384615385
25,New York Jets,14,282.2857142857143,4386.285714285714,949.7142857142857,4.6,26.285714285714285,9.142857142857142,252.57142857142856,324.57142857142856,524.5714285714286,3145.142857142857,19.428571428571427,17.142857142857142,5.4,165.7142857142857,370.2857142857143,1241.142857142857,6.857142857142857,3.4,56.0,125.71428571428571,1213.7142857142856,30.857142857142854,25.599999999999998,12.1,-110.35428571428571,2019,26,16.0,392.0,5258.285714285714,1040.0,5.1,18.285714285714285,9.142857142857142,307.4285714285714,362.2857142857143,580.5714285714286,3837.7142857142853,27.428571428571427,9.142857142857142,6.2,189.7142857142857,425.1428571428571,1420.5714285714284,13.714285714285714,3.3,75.42857142857143,112.0,946.2857142857142,42.285714285714285,41.028571428571425,8.2,-29.66857142857143
26,New York Giants,13,304.0,4990.769230769231,994.4615384615386,5,34.46153846153847,18.461538461538463,295.3846153846154,368.0,601.8461538461539,3490.4615384615386,27.07692307692308,16.0,5.4,179.6923076923077,347.0769230769231,1500.3076923076924,7.384615384615385,4.3,83.6923076923077,96.0,825.8461538461539,32.0,32.861538461538466,19.2,-54.486153846153854,2019,28,16.0,445.53846153846155,6020.923076923077,1049.8461538461538,5.7,18.461538461538463,6.153846153846154,333.53846153846155,361.84615384615387,537.8461538461539,4188.307692307692,29.53846153846154,12.307692307692308,7.3,206.76923076923077,476.3076923076923,1832.6153846153848,17.230769230769234,3.8,94.76923076923077,119.38461538461539,952.6153846153846,32.0,48.73846153846154,9.4,-98.84307692307694
27,Chicago Bears,13,299.0769230769231,4631.384615384615,988.3076923076924,4.7,18.461538461538463,6.153846153846154,289.2307692307692,366.7692307692308,561.2307692307693,3273.846153846154,23.384615384615387,12.307692307692308,5.4,174.76923076923077,384.0,1357.5384615384617,8.615384615384617,3.5,78.76923076923077,109.53846153846155,884.923076923077,35.69230769230769,35.69230769230769,9.7,-33.68615384615385,2019,4,16.0,285.53846153846155,5223.384615384615,1044.923076923077,5,19.692307692307693,9.846153846153847,313.84615384615387,382.7692307692308,595.6923076923077,3682.4615384615386,17.230769230769234,9.846153846153847,5.8,199.3846153846154,412.3076923076923,1540.923076923077,14.76923076923077,3.7,83.6923076923077,119.38461538461539,962.4615384615386,30.76923076923077,35.07692307692308,10.6,8.910769230769231
28,Denver Broncos,13,290.46153846153845,4849.2307692307695,951.3846153846155,5.1,17.230769230769234,6.153846153846154,274.46153846153845,308.92307692307696,494.7692307692308,3138.4615384615386,17.230769230769234,11.076923076923077,5.8,158.76923076923077,411.0769230769231,1710.769230769231,11.076923076923077,4.2,78.76923076923077,108.30769230769232,897.2307692307693,36.92307692307693,39.63076923076924,9.8,-4.935384615384615,2019,10,16.0,321.2307692307692,5298.461538461539,1011.6923076923077,5.2,18.461538461538463,7.384615384615385,304.0,344.61538461538464,532.9230769230769,3454.769230769231,18.461538461538463,11.076923076923077,6,169.84615384615387,440.61538461538464,1843.6923076923078,11.076923076923077,4.2,100.92307692307693,121.84615384615385,1010.4615384615386,33.23076923076923,44.55384615384616,9.2,-27.433846153846154
29,Jacksonville Jaguars,13,283.0769230769231,5618.461538461539,1036.3076923076924,5.4,22.153846153846153,13.53846153846154,296.61538461538464,376.61538461538464,601.8461538461539,3835.0769230769233,22.153846153846153,8.615384615384617,6,183.3846153846154,392.61538461538464,1783.3846153846155,3.6923076923076925,4.5,84.92307692307693,141.53846153846155,1249.2307692307693,28.30769230769231,39.13846153846154,11.5,-39.65538461538462,2019,24,16.0,414.7692307692308,5969.2307692307695,983.3846153846155,6.1,18.461538461538463,8.615384615384617,329.84615384615387,321.2307692307692,505.84615384615387,3712.0,24.615384615384617,9.846153846153847,6.7,185.84615384615387,429.53846153846155,2257.2307692307695,23.384615384615387,5.3,109.53846153846155,102.15384615384616,900.923076923077,34.46153846153847,46.27692307692308,8.7,-117.76000000000002
30,Miami Dolphins,13,272.0,4535.384615384615,980.923076923077,4.6,29.53846153846154,8.615384615384617,292.92307692307696,354.46153846153845,588.3076923076924,3458.4615384615386,18.461538461538463,20.923076923076923,5.3,193.23076923076925,329.84615384615387,1076.923076923077,9.846153846153847,3.3,57.84615384615385,92.3076923076923,793.8461538461539,41.84615384615385,34.830769230769235,15.9,-71.28615384615385,2019,32,16.0,491.0769230769231,6363.076923076924,1043.6923076923078,6.1,12.307692307692308,1.2307692307692308,361.84615384615387,337.2307692307692,530.4615384615385,4105.846153846154,38.15384615384615,11.076923076923077,7.4,212.92307692307693,492.3076923076923,2257.2307692307695,13.53846153846154,4.6,115.6923076923077,112.0,1133.5384615384617,33.23076923076923,58.95384615384616,6.8,-178.95384615384617
31,Cincinnati Bengals,13,243.6923076923077,5000.615384615385,1025.2307692307693,4.9,28.30769230769231,14.76923076923077,302.7692307692308,356.92307692307696,616.6153846153846,3628.3076923076924,14.76923076923077,13.53846153846154,5.4,183.3846153846154,355.69230769230774,1372.3076923076924,7.384615384615385,3.9,82.46153846153847,92.3076923076923,786.4615384615385,36.92307692307693,33.84615384615385,15.5,-83.36000000000001,2019,22,16.0,400.0,6391.384615384616,1021.5384615384615,6.3,14.76923076923077,6.153846153846154,326.1538461538462,307.69230769230774,481.2307692307693,3884.3076923076924,19.692307692307693,8.615384615384617,7.7,177.23076923076923,514.4615384615385,2507.0769230769233,18.461538461538463,4.9,130.46153846153848,132.92307692307693,1080.6153846153848,18.461538461538463,48.36923076923077,8.3,-131.97538461538463
32,Washington Redskins,13,231.3846153846154,4198.153846153847,871.3846153846155,4.8,22.153846153846153,7.384615384615385,235.0769230769231,285.53846153846155,462.7692307692308,2580.923076923077,14.76923076923077,14.76923076923077,5,147.6923076923077,354.46153846153845,1617.2307692307693,7.384615384615385,4.6,68.92307692307693,114.46153846153847,878.7692307692308,18.461538461538463,32.73846153846154,12.6,-103.37230769230769,2019,20,16.0,381.53846153846155,5757.538461538462,1064.6153846153848,5.4,24.615384615384617,8.615384615384617,340.92307692307696,356.92307692307696,519.3846153846154,3600.0,28.30769230769231,16.0,6.3,192.0,496.0,2157.5384615384614,13.53846153846154,4.3,115.6923076923077,89.84615384615385,784.0,33.23076923076923,47.50769230769231,13.6,-79.5323076923077
